ISO3;Country_ID;Country;Conflict_ID;Conflict;Conflict_Type;Start;End;PointInTime;Start_Year;End_Year;Point_Year;Winner_ID;Winner;PartOf_ID;PartOf;Context_ID;Context;Place_ID;Place;Coordinates;Deaths;Source;Deaths_Num
AFG;http://www.wikidata.org/entity/Q889;Afeganistão;http://www.wikidata.org/entity/Q1259237;Terceira Guerra Anglo-Afegã;guerra;1919-05-06T00:00:00Z;1919-08-08T00:00:00Z;;1919;1919;;;;http://www.wikidata.org/entity/Q40837;Guerras Anglo-Afegãs;;;http://www.wikidata.org/entity/Q16880532;North-West Frontier Province;;;participant;
AFG;http://www.wikidata.org/entity/Q889;Afeganistão;http://www.wikidata.org/entity/Q385546;Battle of Alasay;batalha;2009-03-14T00:00:00Z;2009-03-23T00:00:00Z;;2009;2009;;;;http://www.wikidata.org/entity/Q182865;Guerra do Afeganistão;;;http://www.wikidata.org/entity/Q4708417;Alasay;Point(69.7208 34.8958);1;participant;1.0
AFG;http://www.wikidata.org/entity/Q889;Afeganistão;http://www.wikidata.org/entity/Q267418;Emboscada de Uzbin;batalha;;2008-08-19T00:00:00Z;2008-08-18T00:00:00Z;;2008;2008;;;http://www.wikidata.org/entity/Q182865;Guerra do Afeganistão;;;http://www.wikidata.org/entity/Q3473688;Surobi;Point(69.848888888 34.659166666);1;participant;1.0
AFG;http://www.wikidata.org/entity/Q889;Afeganistão;http://www.wikidata.org/entity/Q15709934;Battle of Joybar;batalha;;;2011-07-13T00:00:00Z;;;2011;;;http://www.wikidata.org/entity/Q182865;Guerra do Afeganistão;;;http://www.wikidata.org/entity/Q173816;Capisa;Point(69.643888888 34.870833333);1;participant;1.0
AFG;http://www.wikidata.org/entity/Q889;Afeganistão;http://www.wikidata.org/entity/Q40837;Guerras Anglo-Afegãs;series of wars;;;;;;;;;;;;;;;;;participant;
AGO;http://www.wikidata.org/entity/Q916;Angola;http://www.wikidata.org/entity/Q838695;Primeira Guerra do Congo;guerra;1996-10-24T00:00:00Z;1997-05-16T00:00:00Z;;1996;1997;;;;http://www.wikidata.org/entity/Q364610;Guerra Civil no Congo;;;http://www.wikidata.org/entity/Q6500954;Zaire;;;participant;
AGO;http://www.wikidata.org/entity/Q916;Angola;http://www.wikidata.org/entity/Q1021172;Guerra Civil na República do Congo;guerra civil;1997-01-01T00:00:00Z;1999-01-01T00:00:00Z;1999-12-29T00:00:00Z;1997;1999;1999;;;;;;;http://www.wikidata.org/entity/Q971;República do Congo;;;participant;
AGO;http://www.wikidata.org/entity/Q916;Angola;http://www.wikidata.org/entity/Q75756;Segunda Guerra do Congo;guerra;1998-08-02T00:00:00Z;2003-06-30T00:00:00Z;;1998;2003;;;;http://www.wikidata.org/entity/Q364610;Guerra Civil no Congo;;;http://www.wikidata.org/entity/Q974;República Democrática do Congo;;;participant;
AGO;http://www.wikidata.org/entity/Q916;Angola;http://www.wikidata.org/entity/Q327237;Guerra do Quivu;guerra;2004-06-02T00:00:00Z;;;2004;;;;;http://www.wikidata.org/entity/Q364610;Guerra Civil no Congo;;;http://www.wikidata.org/entity/Q130625;Quivu do Norte;;;participant;
ALB;http://www.wikidata.org/entity/Q222;Albânia;http://www.wikidata.org/entity/Q190029;Guerra do Kosovo;guerra;1998-02-27T00:00:00Z;1999-06-11T00:00:00Z;1998-02-01T00:00:00Z;1998;1999;1998;;;http://www.wikidata.org/entity/Q242352;Guerra Civil Iugoslava;;;http://www.wikidata.org/entity/Q1231;Kosovo;;;participant;
